Address,Type,Sorce,届出番号など,住宅宿泊施設名,Address Data
大田区西糀谷三丁目31番12－101～103・105・201～203・205・301～303号,特区民泊,西糀谷三丁目31番12－101～103・105・201～203・205・301～303号,75 M‐1 Tokyo 西糀谷３,,大田区西糀谷三丁目31番12－101～103・105・201～203・205・301～303号
大田区西糀谷四丁目４番24－101～103・105・201～203・205・206・301～303・305・306号,特区民泊,西糀谷四丁目４番24－101～103・105・201～203・205・206・301～303・305・306号,76 M‐1 Tokyo 西糀谷４,,大田区西糀谷四丁目４番24－101～103・105・201～203・205・206・301～303・305・306号
大田区西糀谷四丁目７番16号（１階・２階）,特区民泊,西糀谷四丁目７番16号（１階・２階）,77 TSUMUGI　HOUSE ,,大田区西糀谷四丁目７番16号（１階・２階）
大田区西糀谷四丁目31番３－101・201・202・303・402号,特区民泊,西糀谷四丁目31番３－101・201・202・303・402号,78 IMPEST STAY Tokyo Kamata ,,大田区西糀谷四丁目31番３－101・201・202・303・402号
大田区西糀谷四丁目31番３－102・103・105・203・205・301・302・305・401・403・405・501～503・601～603号,特区民泊,西糀谷四丁目31番３－102・103・105・203・205・301・302・305・401・403・405・501～503・601～603号,79 IMPEST STAY Tokyo Kamata,,大田区西糀谷四丁目31番３－102・103・105・203・205・301・302・305・401・403・405・501～503・601～603号
大田区羽田一丁目５番13号,特区民泊,羽田一丁目５番13号,80 Joiner's House ,,大田区羽田一丁目５番13号
大田区羽田二丁目20番８号,特区民泊,羽田二丁目20番８号,81 MIC’s　house羽田2 ,,大田区羽田二丁目20番８号
大田区羽田三丁目３番15－305号,特区民泊,羽田三丁目３番15－305号,82 delamo room 305 ,,大田区羽田三丁目３番15－305号
大田区羽田四丁目５番５号,特区民泊,羽田四丁目５番５号,83 サムライハウス幸村荘,,大田区羽田四丁目５番５号
大田区羽田五丁目16番７号,特区民泊,羽田五丁目16番７号,84 Pebliss陽（Hinata）壱,,大田区羽田五丁目16番７号
大田区羽田五丁目20番５－101・102・201・202・301・302号,特区民泊,羽田五丁目20番５－101・102・201・202・301・302号,85 M-1 Tokyo 羽田5-Ⅱ ,,大田区羽田五丁目20番５－101・102・201・202・301・302号
大田区羽田五丁目20番11－101～103・201～203・301～303号,特区民泊,羽田五丁目20番11－101～103・201～203・301～303号,86 M‐1 Tokyo 羽田,,大田区羽田五丁目20番11－101～103・201～203・301～303号
大田区羽田六丁目12番７号,特区民泊,羽田六丁目12番７号,87 The Guest House ‘SAMURAI’ ,,大田区羽田六丁目12番７号
